Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDev,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s)
0,2333.3900,10000.0000,2333.3900,10000.0000,9803.8492,1080.1210,2333.3900,9991.9875,9999.5450,10000.0000,10000.0000,,,9.2809
1,1932.9200,10000.0000,1932.9200,10000.0000,8766.3744,2414.8400,1932.9200,9170.9500,9989.9700,9999.4100,10000.0000,1037.4748,3040.0559,17.0634
2,1130.2300,10000.0000,1130.2300,10000.0000,5075.5866,3356.2734,1130.2300,2158.3625,2936.2550,9272.1450,10000.0000,3690.7878,5696.6750,32.3942
3,827.9400,10000.0000,827.9400,10000.0000,3126.9374,2767.9227,827.9400,1430.7150,2082.6200,2835.4025,10000.0000,1948.6492,2618.4958,37.2093
4,527.0000,10000.0000,527.0000,10000.0000,3419.4168,3152.9964,527.0000,1429.5925,2083.9050,3411.5350,10000.0000,-292.4794,-413.5187,35.3647
5,526.2500,10000.0000,526.2500,10000.0000,2493.4908,2617.4484,526.2500,1028.9350,1531.5400,2534.1200,10000.0000,925.9260,1206.6499,38.3676
6,226.2100,10000.0000,226.2100,10000.0000,2305.2254,2714.0480,226.2100,1027.6925,1229.8350,1907.1825,10000.0000,188.2654,248.2001,37.9261
7,526.6400,10000.0000,226.2100,10000.0000,2268.2870,2485.3431,526.6400,1028.8250,1481.0050,2081.9525,10000.0000,36.9384,47.8856,38.5694
8,125.4000,9999.9900,125.4000,10000.0000,2764.8576,3382.2890,125.4000,928.3675,1229.8150,2108.4150,9999.9900,-496.5706,-696.4318,35.6511
9,226.0300,10000.0000,125.4000,10000.0000,1927.7328,2726.0897,226.0300,727.3900,1028.3050,1479.7725,10000.0000,837.1248,1094.1243,38.2555
10,125.5200,10000.0000,125.4000,10000.0000,2134.8248,2887.2950,125.5200,826.9950,1078.8300,1631.5300,10000.0000,-207.0920,-265.6642,38.9763
11,426.1300,10000.0000,125.4000,10000.0000,1889.5904,2727.1038,426.1300,726.9400,1028.1650,1403.5900,10000.0000,245.2344,321.6154,38.1254
12,125.7800,10000.0000,125.4000,10000.0000,1837.4586,2738.3565,125.7800,727.9700,928.5650,1329.3575,10000.0000,52.1318,68.5757,38.0104
13,326.3000,10000.0000,125.4000,10000.0000,1865.2600,2725.8685,326.3000,827.5525,1027.9900,1203.9850,10000.0000,-27.8014,-36.4919,38.0926
14,225.7600,10000.0000,125.4000,10000.0000,1753.0248,2763.2703,225.7600,726.7475,828.1800,1027.9825,10000.0000,112.2352,147.5029,38.0451
15,225.6100,9999.9800,125.4000,10000.0000,1655.7726,2503.0993,225.6100,728.0500,927.4800,1129.8975,9999.9800,97.2522,124.7820,38.9688
16,225.8600,10000.0000,125.4000,10000.0000,1813.0452,2729.3704,225.8600,727.7500,927.9200,1129.2200,10000.0000,-157.2726,-205.8360,38.2034
17,225.0900,10000.0000,125.4000,10000.0000,1738.7280,2770.6318,225.0900,552.4250,927.4650,1129.4350,10000.0000,74.3172,96.7517,38.4062
18,325.5000,10000.0000,125.4000,10000.0000,1662.7332,2788.4940,325.5000,626.7400,777.7300,929.6025,10000.0000,75.9948,99.3077,38.2623
19,125.0900,10000.0000,125.0900,10000.0000,1874.2104,3014.6623,125.0900,552.3675,827.9550,1102.8500,10000.0000,-211.4772,-283.2130,37.3354
20,226.3000,9999.9800,125.0900,10000.0000,1845.1594,2874.2338,226.3000,652.3175,828.4050,1103.6100,9999.9800,29.0510,38.2654,37.9599
21,326.3200,10000.0000,125.0900,10000.0000,1626.6382,2798.6290,326.3200,527.0575,677.1200,927.9450,10000.0000,218.5212,286.8763,38.0863
22,326.0100,10000.0000,125.0900,10000.0000,1622.3482,2802.1357,326.0100,526.5250,727.0000,929.4375,10000.0000,4.2900,5.5747,38.4776
23,226.3200,10000.0000,125.0900,10000.0000,1952.6162,2988.2669,226.3200,652.2625,927.4000,1204.1125,10000.0000,-330.2680,-444.5243,37.1485
24,225.0700,10000.0000,125.0900,10000.0000,1669.7294,2712.5725,225.0700,627.0600,827.4950,928.5775,10000.0000,282.8868,364.4912,38.8057
25,226.2400,10000.0000,125.0900,10000.0000,1684.5720,2755.7217,226.2400,627.0350,827.8050,1028.0800,10000.0000,-14.8426,-19.4651,38.1263
26,124.8800,9999.9900,124.8800,10000.0000,1654.5818,2793.0974,124.8800,527.4925,728.0250,929.2000,9999.9900,29.9902,39.4363,38.0236
27,225.9100,10000.0000,124.8800,10000.0000,1753.0410,2763.4566,225.9100,627.5900,828.3700,1103.7550,10000.0000,-98.4592,-129.4933,38.0171
28,226.1900,10000.0000,124.8800,10000.0000,1910.1354,2998.0958,226.1900,627.3100,828.0550,1102.9100,10000.0000,-157.0944,-209.5274,37.4878
29,25.4000,10000.0000,25.4000,10000.0000,1582.6664,2820.7532,25.4000,427.4025,627.4100,1003.3175,10000.0000,327.4690,431.1633,37.9751
30,226.8900,10000.0000,25.4000,10000.0000,1684.3738,2770.1278,226.8900,626.7725,727.7100,1103.4475,10000.0000,-101.7074,-132.6730,38.3301
31,225.4300,10000.0000,25.4000,10000.0000,1690.2840,2781.2686,225.4300,552.8225,827.5000,1002.7400,10000.0000,-5.9102,-7.6867,38.4444
32,325.8700,10000.0000,25.4000,10000.0000,1735.0130,2765.9727,325.8700,627.3350,827.9650,1029.3850,10000.0000,-44.7290,-59.3072,37.7096
33,325.5400,10000.0000,25.4000,10000.0000,1660.7578,2788.6634,325.5400,527.8125,727.5300,1002.9525,10000.0000,74.2552,98.0650,37.8602
34,225.3900,10000.0000,25.4000,10000.0000,1690.8826,2778.4063,225.3900,627.2150,827.5500,1028.8600,10000.0000,-30.1248,-39.4547,38.1764
35,325.5300,10000.0000,25.4000,10000.0000,1678.6772,2784.7296,325.5300,626.9575,727.8450,1002.8300,10000.0000,12.2054,16.0692,37.9776
