Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDev,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s)
0,9171.9200,10000.0000,9171.9200,10000.0000,9975.5576,123.7787,9171.9200,9998.5150,9999.9700,10000.0000,10000.0000,,,6.1477
1,4241.2900,10000.0000,4241.2900,10000.0000,8981.9466,1570.7197,4241.2900,8690.8375,9779.2050,9992.0400,10000.0000,993.6110,2423.9284,20.4959
2,2031.7800,10000.0000,2031.7800,10000.0000,6684.0568,2699.0689,2031.7800,4090.4350,6248.9650,9144.0200,10000.0000,2297.8898,3805.2880,30.1934
3,1331.7300,10000.0000,1331.7300,10000.0000,5190.6376,2631.0811,1331.7300,3336.6350,4290.7400,6953.0000,10000.0000,1493.4192,2123.3376,35.1668
4,1431.3500,10000.0000,1331.7300,10000.0000,4054.9008,2484.2269,1431.3500,2710.8125,3186.9750,3989.6050,10000.0000,1135.7368,1557.0218,36.4714
5,1129.3100,10000.0000,1129.3100,10000.0000,3821.0762,2383.5197,1129.3100,2533.7900,3035.5650,3740.5075,10000.0000,233.8246,315.0139,37.1134
6,929.4300,10000.0000,929.4300,10000.0000,3284.5964,2341.7653,929.4300,2158.0825,2585.6800,3136.0550,10000.0000,536.4798,704.3536,38.0831
7,1230.4000,10000.0000,929.4300,10000.0000,3360.7398,2271.1137,1230.4000,2233.9450,2634.2400,3513.5750,10000.0000,-76.1434,-99.9559,38.0885
8,1129.8600,10000.0000,929.4300,10000.0000,3146.7474,2379.2639,1129.8600,1857.2400,2384.7150,3311.6750,10000.0000,213.9924,278.7106,38.3897
9,1029.8600,10000.0000,929.4300,10000.0000,2988.3102,2419.4787,1029.8600,1732.1475,2233.8150,2709.8150,10000.0000,158.4372,205.5272,38.5441
10,929.6700,10000.0000,929.4300,10000.0000,2936.2230,2634.7900,929.6700,1731.6325,2082.1700,2409.9750,10000.0000,52.0872,67.8577,38.3797
11,1030.4700,10000.0000,929.4300,10000.0000,2668.4330,2459.7470,1030.4700,1631.6050,1932.1750,2334.5800,10000.0000,267.7900,344.8336,38.8289
12,1129.8200,10000.0000,929.4300,10000.0000,2526.4216,2507.2477,1129.8200,1531.1650,1681.5000,2082.9450,10000.0000,142.0114,185.6418,38.2488
13,1130.8700,10000.0000,929.4300,10000.0000,2660.6054,2437.8537,1130.8700,1632.4350,1932.1450,2134.1750,10000.0000,-134.1838,-173.7477,38.6146
14,1129.7000,10000.0000,929.4300,10000.0000,2528.2530,2510.9107,1129.7000,1531.0550,1731.5550,1933.4525,10000.0000,132.3524,173.1841,38.2115
15,930.1300,10000.0000,929.4300,10000.0000,2658.9902,2477.7413,930.1300,1656.7400,1932.3450,2107.4175,10000.0000,-130.7372,-173.7938,37.6127
