Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDev,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s)
0,1732.4100,10000.0000,1732.4100,10000.0000,9605.8062,1517.3825,1732.4100,9999.4300,9999.9450,10000.0000,10000.0000,,,9.0815
1,2132.7300,10000.0000,1732.4100,10000.0000,8171.1188,2736.2823,2132.7300,5096.1625,9985.6950,9998.9325,10000.0000,1434.6874,3739.5402,19.1827
2,1731.5200,9999.9800,1731.5200,10000.0000,6393.2360,3486.7427,1731.5200,3037.6775,5245.6300,9998.4225,9999.9800,1777.8828,3538.0857,25.1249
3,1833.0200,10000.0000,1731.5200,10000.0000,6548.9514,3328.6602,1833.0200,3062.3025,7109.2900,9997.0525,10000.0000,-155.7154,-306.4388,25.4073
4,1230.7300,10000.0000,1230.7300,10000.0000,5827.3088,3192.3978,1230.7300,3164.6875,4594.2650,9275.2125,10000.0000,721.6426,1220.9043,29.5536
5,1330.8100,10000.0000,1230.7300,10000.0000,6284.3216,3350.8420,1330.8100,3113.3475,5447.6300,9993.3800,10000.0000,-457.0128,-852.7824,26.7954
6,1130.0100,10000.0000,1130.0100,10000.0000,5806.4110,3369.9760,1130.0100,2359.3800,4844.2650,9731.7300,10000.0000,477.9106,820.5543,29.1212
7,628.7800,10000.0000,628.7800,10000.0000,5909.9268,3748.0666,628.7800,2259.4925,4442.4850,9989.2500,10000.0000,-103.5158,-183.6914,28.1766
8,1030.1300,10000.0000,628.7800,10000.0000,5432.3130,3746.8181,1030.1300,1757.1700,3739.6700,9996.7000,10000.0000,477.6138,829.6248,28.7849
9,627.2900,10000.0000,627.2900,10000.0000,3366.9396,3022.1193,627.2900,1456.5900,1932.2400,3665.5700,10000.0000,2065.3734,2847.1792,36.2705
10,828.5300,10000.0000,627.2900,10000.0000,3238.2102,3003.1963,828.5300,1530.7375,1832.2950,2911.8850,10000.0000,128.7294,175.7816,36.6163
11,928.2600,10000.0000,627.2900,10000.0000,3429.1022,3036.6149,928.2600,1631.4250,1982.0050,3240.7325,10000.0000,-190.8920,-264.5043,36.0849
12,426.0200,10000.0000,426.0200,10000.0000,3270.3508,2880.1021,426.0200,1631.3650,2083.0100,2611.2350,10000.0000,158.7514,218.8130,36.2756
13,525.9900,10000.0000,426.0200,10000.0000,3158.1738,3064.7784,525.9900,1430.9425,1733.1550,2636.0425,10000.0000,112.1770,154.8212,36.2279
14,525.8200,10000.0000,426.0200,10000.0000,3674.1142,2904.0894,525.8200,1656.7675,2334.2350,5249.2400,10000.0000,-515.9404,-724.5695,35.6032
15,726.9500,9999.9800,426.0200,10000.0000,3428.5748,3021.2445,726.9500,1255.5600,1782.9700,4443.4775,9999.9800,245.5394,339.0238,36.2127
16,526.5700,10000.0000,426.0200,10000.0000,2918.4222,2836.3284,526.5700,1330.7300,1632.6950,2434.2350,10000.0000,510.1526,693.2638,36.7935
17,728.3400,10000.0000,426.0200,10000.0000,2727.5206,2650.9194,728.3400,1330.0625,1782.4100,2208.0925,10000.0000,190.9016,256.1773,37.2597
18,225.0400,10000.0000,225.0400,10000.0000,2343.8220,2613.6006,225.0400,1029.1925,1530.2050,2108.4425,10000.0000,383.6986,508.7455,37.7103
19,124.4400,10000.0000,124.4400,10000.0000,2182.3552,2645.4291,124.4400,1028.9000,1329.6150,1832.0475,10000.0000,161.4668,211.2947,38.2089
20,225.2300,10000.0000,124.4400,10000.0000,2059.2828,2580.2028,225.2300,927.4825,1229.7900,1731.5100,10000.0000,123.0724,159.6008,38.5563
21,325.1200,10000.0000,124.4400,10000.0000,2119.7642,2480.9145,325.1200,1028.4425,1229.4450,1908.3125,10000.0000,-60.4814,-79.0036,38.2776
22,224.6400,10000.0000,124.4400,10000.0000,2213.8288,2905.5452,224.6400,928.9125,1130.0400,1631.5100,10000.0000,-94.0646,-126.7503,37.1063
23,224.6500,10000.0000,124.4400,10000.0000,2150.0154,2808.1943,224.6500,826.8725,1229.8900,1606.6300,10000.0000,63.8134,83.5835,38.1734
24,626.6600,10000.0000,124.4400,10000.0000,2279.3740,2807.9532,626.6600,927.9650,1229.8350,1706.3375,10000.0000,-129.3586,-173.3980,37.3011
25,425.8100,10000.0000,124.4400,10000.0000,1954.9042,2514.2240,425.8100,927.6675,1228.7750,1530.7550,10000.0000,324.4698,419.8889,38.6376
26,325.9900,10000.0000,124.4400,10000.0000,2345.3960,2980.2665,325.9900,777.2225,1129.7300,1832.4350,10000.0000,-390.4918,-524.2960,37.2396
27,226.2300,10000.0000,124.4400,10000.0000,2120.3490,2933.4827,226.2300,827.5125,1029.1550,1329.0575,10000.0000,225.0470,299.4540,37.5762
28,225.6500,10000.0000,124.4400,10000.0000,2150.1656,2947.8905,225.6500,827.8375,1027.7100,1304.9150,10000.0000,-29.8166,-39.4998,37.7427
29,425.4700,10000.0000,124.4400,10000.0000,1905.5488,2715.3809,425.4700,827.1925,1128.7300,1304.7400,10000.0000,244.6168,322.9337,37.8742
30,325.0900,10000.0000,124.4400,10000.0000,1929.2274,2711.4462,325.0900,827.4475,1029.0300,1331.5625,10000.0000,-23.6786,-31.2346,37.9044
31,224.9000,9999.9700,124.4400,10000.0000,2063.4754,2943.5832,224.9000,727.1725,1027.8600,1404.2000,9999.9700,-134.2480,-177.3817,37.8416
32,326.0300,10000.0000,124.4400,10000.0000,1857.1402,2735.3225,326.0300,652.7450,929.3600,1329.8175,10000.0000,206.3352,272.6217,37.8428
33,325.2600,10000.0000,124.4400,10000.0000,1818.9018,2743.8248,325.2600,726.5675,928.2200,1228.3900,10000.0000,38.2384,50.2519,38.0467
34,225.2200,10000.0000,124.4400,10000.0000,1740.1872,2744.7850,225.2200,627.0050,877.6500,1103.3075,10000.0000,78.7146,102.5927,38.3627
35,325.0400,10000.0000,124.4400,10000.0000,1758.8142,2767.8897,325.0400,626.4075,877.4900,1128.6025,10000.0000,-18.6270,-24.6985,37.7087
36,225.5000,10000.0000,124.4400,10000.0000,1763.9994,2752.3752,225.5000,726.5675,927.1150,1128.8950,10000.0000,-5.1852,-6.7358,38.4899
37,225.2400,10000.0000,124.4400,10000.0000,1772.4914,2754.3091,225.2400,726.4750,877.2350,1203.1450,10000.0000,-8.4920,-11.2373,37.7849
38,224.8500,10000.0000,124.4400,10000.0000,2145.5298,3178.2565,224.8500,727.4650,927.9950,1128.4150,10000.0000,-373.0384,-514.2108,36.2729
39,225.8500,10000.0000,124.4400,10000.0000,1899.9584,3000.9799,225.8500,627.0925,877.2050,1028.4600,10000.0000,245.5714,329.8865,37.2206
40,325.0700,10000.0000,124.4400,10000.0000,2149.7266,3176.0634,325.0700,752.3225,927.7550,1129.0575,10000.0000,-249.7682,-342.0926,36.5059
41,124.4800,10000.0000,124.4400,10000.0000,1738.5288,2768.2101,124.4800,627.0450,827.3050,1102.5600,10000.0000,411.1978,543.8145,37.8068
42,125.3100,10000.0000,124.4400,10000.0000,1740.3622,2764.5844,125.3100,627.1650,827.7100,1127.6175,10000.0000,-1.8334,-2.4179,37.9134
43,224.9200,10000.0000,124.4400,10000.0000,1637.6210,2695.4213,224.9200,626.8625,826.4600,928.2100,10000.0000,102.7412,134.2877,38.2541
