Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDev,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s)
0,5043.0300,10000.0000,5043.0300,10000.0000,9800.8068,806.2534,5043.0300,9997.0850,9999.9900,10000.0000,10000.0000,,,8.1282
1,3236.0100,10000.0000,3236.0100,10000.0000,8142.7266,2087.4965,3236.0100,6749.0800,9467.7650,9955.9950,10000.0000,1658.0802,3227.5717,25.6862
2,2033.4400,10000.0000,2033.4400,10000.0000,6344.0420,1883.0723,2033.4400,5168.9675,6146.7000,7252.3400,10000.0000,1798.6846,2668.8288,33.6980
3,2634.7100,10000.0000,2033.4400,10000.0000,5597.3310,1967.3368,2634.7100,4090.8700,5345.3950,6271.5925,10000.0000,746.7110,1189.0698,31.3990
4,2435.0200,10000.0000,2033.4400,10000.0000,5817.1768,2157.4144,2435.0200,4266.3975,5545.7250,6747.6150,10000.0000,-219.8458,-323.3897,33.9908
5,929.4700,10000.0000,929.4700,10000.0000,5419.7628,2449.8020,929.4700,3588.2500,5444.2600,6248.2800,10000.0000,397.4140,580.4369,34.2340
6,1029.0300,10000.0000,929.4700,10000.0000,4713.2932,2197.0576,1029.0300,3162.1675,4440.5400,5645.1875,10000.0000,706.4696,969.5961,36.4311
7,1029.8200,10000.0000,929.4700,10000.0000,4077.1844,2423.5280,1029.8200,2735.1875,3387.3300,4765.6625,10000.0000,636.1088,852.0504,37.3281
8,827.7900,10000.0000,827.7900,10000.0000,4266.4294,3040.5224,827.7900,2132.2300,3036.2850,5269.3400,10000.0000,-189.2450,-270.4511,34.9869
9,929.4900,10000.0000,827.7900,10000.0000,3775.4536,2675.4862,929.4900,1881.7725,3036.0250,4014.7100,10000.0000,490.9758,669.1724,36.6853
10,527.5500,10000.0000,527.5500,10000.0000,3285.1012,2474.0073,527.5500,1833.0375,2534.6600,3387.4225,10000.0000,490.3524,652.2138,37.5914
11,829.2700,10000.0000,527.5500,10000.0000,3085.2788,2315.9174,829.2700,1656.8900,2434.2900,3362.7125,10000.0000,199.8224,258.3471,38.6732
12,829.4500,9999.8800,527.5500,10000.0000,3043.6538,2486.5487,829.4500,1731.8125,2233.5250,2709.5800,9999.8800,41.6250,54.4093,38.2517
13,929.4400,10000.0000,527.5500,10000.0000,2757.3780,2671.3186,929.4400,1330.3700,1732.8100,2334.0500,10000.0000,286.2758,376.1642,38.0520
14,528.3100,10000.0000,527.5500,10000.0000,2448.0898,2550.3177,528.3100,1330.2175,1682.0150,2108.0900,10000.0000,309.2882,399.9077,38.6700
15,528.0700,10000.0000,527.5500,10000.0000,2377.4222,2554.9249,528.0700,1356.0100,1581.8300,1906.8150,10000.0000,70.6676,90.9372,38.8552
16,727.9300,10000.0000,527.5500,10000.0000,2482.0374,2637.7477,727.9300,1255.6225,1630.6050,1832.7875,10000.0000,-104.6152,-136.6305,38.2840
17,728.3200,9999.9800,527.5500,10000.0000,2430.4692,2759.2970,728.3200,1231.0325,1430.0700,1832.1100,9999.9800,51.5682,67.9289,37.9575
18,728.4200,10000.0000,527.5500,10000.0000,2285.0034,2466.9283,728.4200,1229.7775,1481.2150,1906.7850,10000.0000,145.4658,187.7768,38.7495
19,427.1000,10000.0000,427.1000,10000.0000,2235.3986,2609.4304,427.1000,1131.2475,1530.7200,1732.0200,10000.0000,49.6048,64.5276,38.4211
20,827.6000,10000.0000,427.1000,10000.0000,2283.8444,2589.4768,827.6000,1230.1950,1481.1600,1732.0250,10000.0000,-48.4458,-63.3256,38.2513
21,528.3500,10000.0000,427.1000,10000.0000,2473.0284,2814.3704,528.3500,1155.0275,1532.3250,1832.2575,10000.0000,-189.1840,-252.7998,37.4178
22,527.5400,10000.0000,427.1000,10000.0000,2263.3938,2606.2149,527.5400,1329.8900,1431.2300,1806.4600,10000.0000,209.6346,273.3636,38.3435
23,829.2400,10000.0000,427.1000,10000.0000,2204.7814,2572.0613,829.2400,1130.2825,1330.7000,1631.1725,10000.0000,58.6124,75.7682,38.6788
24,728.1700,10000.0000,427.1000,10000.0000,2289.0320,2467.8887,728.1700,1229.7350,1381.2150,1832.4550,10000.0000,-84.2506,-108.5669,38.8012
25,729.0800,10000.0000,427.1000,10000.0000,2231.5236,2606.2430,729.0800,1229.5100,1380.9000,1707.0250,10000.0000,57.5084,75.2778,38.1974
26,727.7800,10000.0000,427.1000,10000.0000,2191.4716,2618.7634,727.7800,1130.1475,1431.1900,1631.5125,10000.0000,40.0520,52.1561,38.3963
27,427.6100,10000.0000,427.1000,10000.0000,2231.2232,2620.0175,427.6100,1154.8900,1481.1200,1732.0125,10000.0000,-39.7516,-51.7518,38.4060
28,427.1200,10000.0000,427.1000,10000.0000,2088.2058,2475.2294,427.1200,1030.8625,1280.4500,1631.8875,10000.0000,143.0174,182.8752,39.1025
29,326.8200,10000.0000,326.8200,10000.0000,2236.5412,2565.0253,326.8200,1028.8900,1330.2900,1732.4575,10000.0000,-148.3354,-189.7901,39.0788
30,828.4800,10000.0000,326.8200,10000.0000,2546.5902,2813.9882,828.4800,1129.6150,1430.8950,1831.7200,10000.0000,-310.0490,-406.4774,38.1385
31,627.8400,10000.0000,326.8200,10000.0000,2240.7346,2514.7228,627.8400,1129.4350,1430.5550,1831.6850,10000.0000,305.8556,393.9515,38.8189
32,727.8400,10000.0000,326.8200,10000.0000,2222.9402,2587.9138,727.8400,1229.7575,1331.9300,1706.5750,10000.0000,17.7944,22.9132,38.8300
33,729.1700,10000.0000,326.8200,10000.0000,2265.4070,2600.3678,729.1700,1229.8700,1430.1550,1732.3400,10000.0000,-42.4668,-55.0495,38.5715
34,628.2300,10000.0000,326.8200,10000.0000,2205.3132,2621.2468,628.2300,1129.4075,1380.6850,1707.1225,10000.0000,60.0938,78.2910,38.3785
35,627.8700,10000.0000,326.8200,10000.0000,2217.2570,2609.1209,627.8700,1229.1775,1429.8150,1630.6825,10000.0000,-11.9438,-15.5144,38.4927
36,627.9300,10000.0000,326.8200,10000.0000,2235.0366,2615.4665,627.9300,1130.1350,1430.4350,1831.6450,10000.0000,-17.7796,-23.0632,38.5454
37,627.2600,10000.0000,326.8200,10000.0000,2229.4134,2607.3896,627.2600,1129.7775,1430.6500,1731.4750,10000.0000,5.6232,7.3603,38.1995
38,728.7200,10000.0000,326.8200,10000.0000,2329.6574,2577.8994,728.7200,1329.4050,1531.7950,1832.3125,10000.0000,-100.2440,-130.7352,38.3386
39,728.5300,10000.0000,326.8200,10000.0000,2223.3464,2602.4558,728.5300,1230.1750,1330.6350,1531.8050,10000.0000,106.3110,138.4477,38.3939
40,527.2400,10000.0000,326.8200,10000.0000,2088.2340,2453.0577,527.2400,1029.3725,1329.8400,1731.5550,10000.0000,135.1124,172.8193,39.0907
41,427.4000,10000.0000,326.8200,10000.0000,2138.7802,2638.4962,427.4000,1129.1100,1329.8100,1605.7625,10000.0000,-50.5462,-65.5427,38.5598
42,727.8700,10000.0000,326.8200,10000.0000,2243.4006,2603.4839,727.8700,1229.4525,1430.2450,1832.1625,10000.0000,-104.6204,-136.6747,38.2735
43,727.1000,10000.0000,326.8200,10000.0000,2227.4296,2611.3351,727.1000,1155.4500,1330.1600,1731.2700,10000.0000,15.9710,20.7755,38.4372
44,628.0800,10000.0000,326.8200,10000.0000,2185.1946,2629.4538,628.0800,1129.7650,1331.0700,1731.1150,10000.0000,42.2350,55.0224,38.3798
45,728.2600,10000.0000,326.8200,10000.0000,2251.5196,2601.6949,728.2600,1130.7300,1480.8150,1706.5400,10000.0000,-66.3250,-86.6277,38.2817
46,528.7200,10000.0000,326.8200,10000.0000,2225.5834,2611.8585,528.7200,1229.9175,1430.5050,1707.2150,10000.0000,25.9362,33.9080,38.2449
47,728.0300,10000.0000,326.8200,10000.0000,2318.5878,2855.5849,728.0300,1029.4875,1329.8150,1705.6300,10000.0000,-93.0044,-124.0279,37.5001
48,527.7100,10000.0000,326.8200,10000.0000,2205.2062,2620.8755,527.7100,1129.2025,1230.8850,1731.9200,10000.0000,113.3816,148.0648,38.2811
49,728.8700,10000.0000,326.8200,10000.0000,2114.2712,2430.1678,728.8700,1129.9900,1331.5800,1706.6025,10000.0000,90.9350,116.8071,38.9253
50,628.0000,10000.0000,326.8200,10000.0000,2298.2930,2858.0293,628.0000,1128.9925,1329.7050,1531.5775,10000.0000,-184.0218,-243.4100,37.8008
