Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDev,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s)
0,1731.8700,10000.0000,1731.8700,10000.0000,9651.8102,1414.5876,1731.8700,9996.5300,9999.7300,10000.0000,10000.0000,,,6.6343
1,326.6100,10000.0000,326.6100,10000.0000,6059.9514,3616.5444,326.6100,1856.9525,5997.8600,9978.1375,10000.0000,3591.8588,7611.8520,23.5939
2,728.9600,10000.0000,326.6100,10000.0000,3986.5614,3039.3903,728.9600,1682.2775,2635.3550,5570.4275,10000.0000,2073.3900,3644.2233,28.4476
3,427.0500,10000.0000,326.6100,10000.0000,2520.7394,2760.2083,427.0500,1054.3350,1381.1500,2084.3450,10000.0000,1465.8220,2368.4091,30.9453
4,728.2300,10000.0000,326.6100,10000.0000,2614.8438,2615.0898,728.2300,1230.7150,1681.8100,2208.3325,10000.0000,-94.1044,-154.7588,30.4036
5,627.9200,10000.0000,326.6100,10000.0000,2430.3836,2619.3787,627.9200,1155.2875,1530.7250,2008.2175,10000.0000,184.4602,303.9975,30.3391
6,527.4000,10000.0000,326.6100,10000.0000,2335.4522,2617.7913,527.4000,1054.8500,1481.6600,2082.9850,10000.0000,94.9314,153.9451,30.8329
7,627.9100,10000.0000,326.6100,10000.0000,2086.5106,2380.5884,627.9100,1129.9075,1330.3000,1607.1600,10000.0000,248.9416,400.1319,31.1074
8,627.8600,10000.0000,326.6100,10000.0000,2064.8536,2660.5891,627.8600,929.2200,1130.4050,1531.4875,10000.0000,21.6570,34.7950,31.1208
9,728.1700,10000.0000,326.6100,10000.0000,2234.8494,2591.9105,728.1700,1129.3775,1430.6600,1831.0425,10000.0000,-169.9958,-276.6950,30.7190
10,528.2900,10000.0000,326.6100,10000.0000,2185.2936,2628.5559,528.2900,1129.2200,1329.8450,1731.3900,10000.0000,49.5558,81.1518,30.5328
11,628.6000,10000.0000,326.6100,10000.0000,2026.8898,2673.5565,628.6000,929.5575,1130.0650,1505.1500,10000.0000,158.4038,257.0014,30.8177
