Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDev,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s)
0,1167.9800,10000.0000,1167.9800,10000.0000,9600.4668,1304.3719,1167.9800,9993.6600,9999.7900,10000.0000,10000.0000,,,4.0097
1,365.5400,10000.0000,365.5400,10000.0000,7857.4908,3250.0339,365.5400,7433.8600,9692.3000,9999.9500,10000.0000,1742.9760,14837.5529,5.8735
2,166.0000,10000.0000,166.0000,10000.0000,5545.5780,4023.1135,166.0000,1368.1150,6881.8800,9995.9000,10000.0000,2311.9128,15133.7671,7.6383
3,-33.7800,10000.0000,-33.7800,10000.0000,4951.9120,4318.1544,-33.7800,617.1800,4073.2300,9996.6750,10000.0000,593.6660,3920.7458,7.5708
4,-34.8400,10000.0000,-34.8400,10000.0000,4338.7712,4402.4944,-34.8400,566.4200,1368.8100,9997.2500,10000.0000,613.1408,3999.8970,7.6645
5,-35.4400,10000.0000,-35.4400,10000.0000,3447.9528,4038.0918,-35.4400,365.5250,1067.6500,7034.1600,10000.0000,890.8184,5220.0325,8.5327
6,-35.4800,10000.0000,-35.4800,10000.0000,4486.6248,4407.0488,-35.4800,216.5150,2070.6200,9996.4750,10000.0000,-1038.6720,-6709.5047,7.7403
7,-34.8800,10000.0000,-35.4800,10000.0000,3948.8872,4274.3913,-34.8800,365.7650,1068.4400,9993.0350,10000.0000,537.7376,3252.0096,8.2678
8,-35.8200,10000.0000,-35.8200,10000.0000,3259.2668,4103.9721,-35.8200,165.5000,766.7300,8439.1850,10000.0000,689.6204,4050.1170,8.5136
9,-35.9600,10000.0000,-35.9600,10000.0000,2805.4828,3983.1820,-35.9600,215.8300,566.4600,3321.8950,10000.0000,453.7840,2578.6771,8.7988
10,-35.5800,10000.0000,-35.9600,10000.0000,1942.5416,3300.1076,-35.5800,165.0700,365.6200,1317.4700,10000.0000,862.9412,4530.5974,9.5235
11,-35.4800,10000.0000,-35.9600,10000.0000,1758.5496,3353.9498,-35.4800,164.8400,365.0600,1116.8000,10000.0000,183.9920,964.7056,9.5362
12,-35.6000,10000.0000,-35.9600,10000.0000,2685.4704,3934.1429,-35.6000,165.4350,566.2300,1869.2250,10000.0000,-926.9208,-5220.8518,8.8771
13,-35.7800,10000.0000,-35.9600,10000.0000,1838.4308,3380.5200,-35.7800,165.1950,365.7300,716.4450,10000.0000,847.0396,4414.8535,9.5931
14,-35.8200,10000.0000,-35.9600,10000.0000,1388.9680,3026.8260,-35.8200,164.6000,364.9300,565.8550,10000.0000,449.4628,2263.7738,9.9434
15,-35.6800,10000.0000,-35.9600,10000.0000,1204.6016,2939.9319,-35.6800,164.5500,165.4800,366.0800,10000.0000,184.3664,926.7189,9.9312
16,-36.0200,10000.0000,-36.0200,10000.0000,1256.7076,2934.0528,-36.0200,-34.8600,165.3500,515.6200,10000.0000,-52.1060,-264.2581,9.8589
17,-36.2000,10000.0000,-36.2000,10000.0000,1232.5104,2933.1759,-36.2000,164.2350,165.6000,515.5350,10000.0000,24.1972,122.1300,9.9063
